"decimalLongitude","decimalLatitude","N"
-96.607108,17.177112,599
-102.318399,21.835368,7
-104.932472,24.087528,223
-99.171389,19.353611,46
-105.665646,23.692005,54
-99.164793,19.342977,5
-96.504761,17.303577,2
-99.19311,19.316773,230
-98.855216,19.471287,59
-99.178889,19.341944,20
-99.104104,20.08034,12
-101.211654,19.651177,223
-116.879122,32.093601,419
-100.743084,20.908641,8
-96.762718,17.159828,1367
-98.87185,19.478924,8
-99.178745,19.37832,32
-99.362251,19.173897,8
-100.133715,21.273939,8
-96.517151,17.361193,2
-100.747216,20.905664,5
-99.209483,18.918426,18
-99.192222,19.296389,2
-99.168889,19.348333,1
-99.1825,19.348056,5
-101.002293,22.126832,60
-103.506187,19.531384,117
-99.182017,19.28356,12
-99.183728,19.296481,8
-99.186111,19.3425,3
-116.873277,32.057618,6
-92.68119,16.759817,703
-102.315448,21.911814,19
-96.296539,16.930024,7
-99.143758,19.254757,5
-99.093418,19.301099,299
-115.769783,31.235267,5
-116.510944,32.116546,5
-99.196329,19.295833,83
-102.350827,22.179298,14
-98.59751,19.451418,11
-99.19987,19.109503,223
-99.170556,19.349722,6
-102.320617,21.911758,1
-108.925,28.372222,121
-104.518304,24.064295,183
-103.698031,19.435199,38
-98.85564,19.499124,45
-103.694997,19.450647,26
-102.32025,21.912342,36
-99.309079,19.326268,27
-99.201586,19.291054,104
-101.108723,19.957537,139
-101.453059,19.201889,70
-103.988686,20.632543,143
-98.601294,19.457771,11
-99.048631,19.25738,9
-103.987688,20.63421,1
-103.528665,19.533157,257
-115.634783,31.109196,10
-107.6384,27.734364,5
-96.525816,17.040061,1234
-101.221949,19.504838,26
-102.320689,21.911963,1
-104.546242,23.95645,99
-99.149444,19.324722,33
-101.757227,19.619266,41
-92.403164,16.639278,25
-102.288873,21.853583,77
-105.212588,25.203261,4
-96.50542,16.17298,45
-92.198167,16.303664,2
-99.29998,19.332668,108
-96.485288,16.089707,8
-101.923075,21.369921,26
-96.730671,17.170701,7
-116.608061,31.816441,877
-99.027543,19.185948,32
-100.087016,20.391057,1
-100.529773,25.449412,8
-99.182231,19.320195,40
-99.171477,19.342829,5
-102.315984,21.911708,2
-99.193668,19.294132,4
-115.767503,31.234635,1
-99.171667,19.353611,44
-111.038818,30.467614,32
-96.594895,17.163157,366
-108.88939,28.70648,27
-97.171712,19.594593,43
-116.667134,31.868621,6
-101.830945,21.355737,22
-97.176905,19.616233,125
-96.712372,17.243647,3
-104.76081,23.955051,87
-105.287057,23.893882,39
-108.211479,29.323725,10
-97.151,19.545074,113
-96.515234,17.043716,419
-102.3,21.87889,17
-98.728841,19.123923,17
-105.009521,23.773968,54
-103.567793,19.613722,503
-99.163611,19.348889,2
-99.171389,19.342778,12
-92.472954,16.66152,13
-96.509451,17.306329,71
-104.704176,20.707679,3
-97.156734,19.529054,43
-99.1625,19.3525,2
-99.171766,19.353702,9
-103.528268,19.534514,23
-102.254219,21.812174,100
-99.211178,19.407669,16
-99.916577,20.056012,10
-99.175139,19.352806,18
-102.287843,21.850745,15
-99.803426,20.685002,1
-103.674202,19.415197,6
-96.825983,17.201912,96
-102.321128,21.91275,1
-96.732516,17.07589,26
-98.345296,19.243939,9
-116.875193,32.05437,267
-99.19648,19.313379,14
-99.172333,19.516556,18
-98.934674,19.124004,12
-99.182703,19.315396,24
-105.010382,23.774164,47
-99.094444,19.294167,19
-103.176341,20.29736,34
-116.662719,31.868113,3
-99.189586,19.524888,2
-99.163056,19.342778,3
-110.923509,31.276643,4
-104.232745,20.820709,39
-107.010806,29.321591,14
-98.22861,20.128367,6
-99.888439,20.520855,41
-104.230835,20.814893,1
-108.95026,28.7436,5
-102.336273,21.431618,25
-98.302081,19.058224,7
-96.510237,17.014772,244
-107.655029,28.857761,12
-99.871082,20.529075,39
-96.731995,17.224699,23
-99.159048,19.418238,4
-110.766459,30.615773,10
-96.523911,17.113916,5
-103.692613,19.425073,3
-99.231133,19.419066,47
-99.118652,19.373341,21
-99.100575,18.998465,65
-99.07475,19.109173,27
-100.233936,24.869898,51
-100.600777,25.198418,61
-100.556335,25.167131,33
-99.139778,19.500694,54
-99.209056,19.498944,33
-96.472192,17.267056,37
-96.443353,17.311392,30
-96.476425,17.267127,7
-96.439909,17.309167,14
-96.757278,17.193931,243
-99.119333,19.47625,15
-99.191889,19.469583,30
-100.728343,20.919042,2
-99.950699,20.55968,82
-102.694702,21.899411,36
-99.165028,19.508889,30
-115.45644,30.93661,22
-102.691355,21.048105,10
-99.305935,19.33248,15
-102.705817,21.730401,6
-97.171808,19.661066,624
-96.485807,17.269112,14
-96.765228,17.046472,57
-102.717495,21.738375,2
-99.177618,19.312176,24
